geo,time,hdi_human_development_index
lao,2011,0.524
lva,1990,0.693
lva,2000,0.732
lva,2005,0.784
lva,2006,0.793
lva,2007,0.8
lva,2008,0.803
lva,2009,0.798
lva,2011,0.805
lbn,2005,0.711
lbn,2006,0.713
lbn,2007,0.721
lbn,2008,0.726
lbn,2009,0.733
lbn,2011,0.739
lso,1980,0.418
lso,1990,0.47
lso,2000,0.427
lso,2005,0.417
lso,2006,0.426
lso,2007,0.429
lso,2008,0.436
lso,2009,0.44
lso,2011,0.45
lbr,1980,0.335
lbr,2000,0.306
lbr,2005,0.3
lbr,2006,0.298
lbr,2007,0.319
lbr,2008,0.328
lbr,2009,0.32
lbr,2011,0.329
lby,2005,0.741
lby,2006,0.748
lby,2007,0.755
lby,2008,0.759
lby,2009,0.763
lby,2011,0.76
lie,2011,0.905
ltu,2000,0.749
ltu,2005,0.793
ltu,2006,0.798
ltu,2007,0.803
ltu,2008,0.806
ltu,2009,0.802
ltu,2011,0.81
lux,1980,0.728
lux,1990,0.788
lux,2000,0.854
lux,2005,0.865
lux,2006,0.863
lux,2007,0.868
lux,2008,0.867
lux,2009,0.863
lux,2011,0.867
mkd,2005,0.704
mkd,2006,0.708
mkd,2007,0.712
mkd,2008,0.725
mkd,2009,0.725
mkd,2011,0.728
mdg,2000,0.427
mdg,2005,0.465
mdg,2006,0.471
mdg,2007,0.476
mdg,2008,0.483
mdg,2009,0.483
mdg,2011,0.48
mwi,1980,0.27
mwi,1990,0.291
mwi,2000,0.343
mwi,2005,0.351
mwi,2006,0.36
mwi,2007,0.367
mwi,2008,0.377
mwi,2009,0.387
mwi,2011,0.4
mys,1980,0.559
mys,1990,0.631
mys,2000,0.705
mys,2005,0.738
mys,2006,0.742
mys,2007,0.746
mys,2008,0.75
mys,2009,0.752
mys,2011,0.761
mdv,2000,0.576
mdv,2005,0.619
mdv,2006,0.632
mdv,2007,0.64
mdv,2008,0.648
mdv,2009,0.65
mdv,2011,0.661
mli,1980,0.174
mli,1990,0.204
mli,2000,0.275
mli,2005,0.319
mli,2006,0.326
mli,2007,0.338
mli,2008,0.346
mli,2009,0.352
mli,2011,0.359
mlt,1980,0.703
mlt,1990,0.753
mlt,2000,0.799
mlt,2005,0.825
mlt,2006,0.825
mlt,2007,0.826
mlt,2008,0.829
mlt,2009,0.827
mlt,2011,0.832
mrt,1980,0.332
mrt,1990,0.353
mrt,2000,0.41
mrt,2005,0.432
mrt,2006,0.436
mrt,2007,0.442
mrt,2008,0.446
mrt,2009,0.447
mrt,2011,0.453
mus,1980,0.546
mus,1990,0.618
mus,2000,0.672
mus,2005,0.703
mus,2006,0.709
mus,2007,0.714
mus,2008,0.718
mus,2009,0.722
mus,2011,0.728
mex,1980,0.593
mex,1990,0.649
mex,2000,0.718
mex,2005,0.741
mex,2006,0.748
mex,2007,0.755
mex,2008,0.761
mex,2009,0.762
mex,2011,0.77
fsm,2005,0.633
fsm,2006,0.635
fsm,2007,0.637
fsm,2008,0.636
fsm,2009,0.635
fsm,2011,0.636
mda,2000,0.586
mda,2005,0.631
mda,2006,0.637
mda,2007,0.638
mda,2008,0.644
mda,2009,0.638
mda,2011,0.649
mng,1990,0.54
mng,2000,0.555
mng,2005,0.611
mng,2006,0.621
mng,2007,0.631
mng,2008,0.641
mng,2009,0.642
mng,2011,0.653
mne,2005,0.757
mne,2006,0.762
mne,2007,0.767
mne,2008,0.771
mne,2009,0.768
mne,2011,0.771
mar,1980,0.364
mar,1990,0.435
mar,2000,0.507
mar,2005,0.552
mar,2006,0.559
mar,2007,0.565
mar,2008,0.57
mar,2009,0.575
mar,2011,0.582
moz,1990,0.2
moz,2000,0.245
moz,2005,0.285
moz,2006,0.29
moz,2007,0.299
moz,2008,0.304
moz,2009,0.312
moz,2011,0.322
mmr,1980,0.279
mmr,1990,0.298
mmr,2000,0.38
mmr,2005,0.436
mmr,2006,0.448
mmr,2007,0.459
mmr,2008,0.468
mmr,2009,0.474
mmr,2011,0.483
nam,1990,0.564
nam,2000,0.577
nam,2005,0.593
nam,2006,0.6
nam,2007,0.607
nam,2008,0.613
nam,2009,0.617
nam,2011,0.625
npl,1980,0.242
npl,1990,0.34
npl,2000,0.398
npl,2005,0.424
npl,2006,0.432
npl,2007,0.437
npl,2008,0.443
npl,2009,0.449
npl,2011,0.458
nld,1980,0.792
nld,1990,0.835
nld,2000,0.882
nld,2005,0.89
nld,2006,0.897
nld,2007,0.902
nld,2008,0.904
nld,2009,0.905
nld,2011,0.91
nzl,1980,0.8
nzl,1990,0.828
nzl,2000,0.878
nzl,2005,0.899
nzl,2006,0.901
nzl,2007,0.903
nzl,2008,0.904
nzl,2009,0.906
nzl,2011,0.908
nic,1980,0.457
nic,1990,0.473
nic,2000,0.533
nic,2005,0.566
nic,2006,0.571
nic,2007,0.577
nic,2008,0.583
nic,2009,0.582
nic,2011,0.589
ner,1980,0.177
ner,1990,0.193
ner,2000,0.229
ner,2005,0.265
ner,2006,0.269
ner,2007,0.273
ner,2008,0.282
ner,2009,0.285
ner,2011,0.295
nga,2005,0.429
nga,2006,0.438
nga,2007,0.441
nga,2008,0.446
nga,2009,0.449
nga,2011,0.459
nor,1980,0.796
nor,1990,0.844
nor,2000,0.913
nor,2005,0.938
nor,2006,0.94
nor,2007,0.942
nor,2008,0.941
nor,2009,0.941
nor,2011,0.943
omn,2005,0.694
omn,2006,0.695
omn,2007,0.697
omn,2008,0.702
omn,2009,0.703
omn,2011,0.705
pak,1980,0.359
pak,1990,0.399
pak,2000,0.436
pak,2005,0.48
pak,2006,0.483
pak,2007,0.493
pak,2008,0.495
pak,2009,0.499
pak,2011,0.504
plw,2000,0.774
plw,2005,0.788
plw,2006,0.79
plw,2007,0.793
plw,2008,0.781
plw,2009,0.777
plw,2011,0.782
pan,1980,0.628
pan,1990,0.66
pan,2000,0.718
pan,2005,0.74
pan,2006,0.745
pan,2007,0.752
pan,2008,0.758
pan,2009,0.76
pan,2011,0.768
png,1980,0.313
png,1990,0.368
png,2000,0.423
png,2005,0.435
png,2006,0.436
png,2007,0.447
png,2008,0.452
png,2009,0.457
png,2011,0.466
pry,1980,0.544
pry,1990,0.572
pry,2000,0.612
pry,2005,0.635
pry,2006,0.639
pry,2007,0.643
pry,2008,0.65
pry,2009,0.651
pry,2011,0.665
per,1980,0.574
per,1990,0.612
per,2000,0.674
per,2005,0.691
per,2006,0.697
per,2007,0.704
per,2008,0.712
per,2009,0.714
per,2011,0.725
phl,1980,0.55
phl,1990,0.571
phl,2000,0.602
phl,2005,0.622
phl,2006,0.624
phl,2007,0.63
phl,2008,0.635
phl,2009,0.636
phl,2011,0.644
pol,2000,0.77
pol,2005,0.791
pol,2006,0.795
pol,2007,0.8
pol,2008,0.804
pol,2009,0.807
pol,2011,0.813
prt,1980,0.639
prt,1990,0.708
prt,2000,0.778
prt,2005,0.789
prt,2006,0.791
prt,2007,0.798
prt,2008,0.802
prt,2009,0.805
prt,2011,0.809
qat,1980,0.703
qat,1990,0.743
qat,2000,0.784
qat,2005,0.818
qat,2006,0.816
qat,2007,0.825
qat,2008,0.825
qat,2009,0.818
qat,2011,0.831
rou,1990,0.7
rou,2000,0.704
rou,2005,0.748
rou,2006,0.757
rou,2007,0.767
rou,2008,0.778
rou,2009,0.778
rou,2011,0.781
rus,2000,0.691
rus,2005,0.725
rus,2006,0.733
rus,2007,0.742
rus,2008,0.748
rus,2009,0.747
rus,2011,0.755
rwa,1980,0.275
rwa,1990,0.232
rwa,2000,0.313
rwa,2005,0.376
rwa,2006,0.39
rwa,2007,0.401
rwa,2008,0.411
rwa,2009,0.419
rwa,2011,0.429
kna,2011,0.735
lca,2011,0.723
vct,2011,0.717
wsm,2000,0.657
wsm,2005,0.676
wsm,2006,0.682
wsm,2007,0.684
wsm,2008,0.688
wsm,2009,0.685
wsm,2011,0.688
stp,2005,0.483
stp,2006,0.489
stp,2007,0.496
stp,2008,0.496
stp,2009,0.503
stp,2011,0.509
sau,1980,0.651
sau,1990,0.693
sau,2000,0.726
sau,2005,0.746
sau,2006,0.751
sau,2007,0.755
sau,2008,0.76
sau,2009,0.763
sau,2011,0.77
sen,1980,0.317
sen,1990,0.365
sen,2000,0.399
sen,2005,0.432
sen,2006,0.436
sen,2007,0.445
sen,2008,0.451
sen,2009,0.453
sen,2011,0.459
srb,2000,0.719
srb,2005,0.744
srb,2006,0.749
srb,2007,0.754
srb,2008,0.76
srb,2009,0.761
srb,2011,0.766
syc,2000,0.764
syc,2005,0.766
syc,2006,0.77
syc,2007,0.775
syc,2008,0.773
syc,2009,0.767
syc,2011,0.773
sle,1980,0.248
sle,1990,0.241
sle,2000,0.252
sle,2005,0.306
sle,2006,0.312
sle,2007,0.319
sle,2008,0.325
sle,2009,0.329
sle,2011,0.336
sgp,2000,0.801
sgp,2005,0.835
sgp,2006,0.843
sgp,2007,0.85
sgp,2008,0.855
sgp,2009,0.856
sgp,2011,0.866
svk,1990,0.747
svk,2000,0.779
svk,2005,0.81
svk,2006,0.817
svk,2007,0.825
svk,2008,0.831
svk,2009,0.829
svk,2011,0.834
svn,2000,0.805
svn,2005,0.848
svn,2006,0.858
svn,2007,0.868
svn,2008,0.875
svn,2009,0.876
svn,2011,0.884
slb,2000,0.479
slb,2005,0.502
slb,2006,0.512
slb,2007,0.515
slb,2008,0.514
slb,2009,0.504
slb,2011,0.51
zaf,1980,0.564
zaf,1990,0.615
zaf,2000,0.616
zaf,2005,0.599
zaf,2006,0.601
zaf,2007,0.604
zaf,2008,0.608
zaf,2009,0.61
zaf,2011,0.619
esp,1980,0.691
esp,1990,0.749
esp,2000,0.839
esp,2005,0.857
esp,2006,0.862
esp,2007,0.866
esp,2008,0.871
esp,2009,0.874
esp,2011,0.878
lka,1980,0.539
lka,1990,0.583
lka,2000,0.633
lka,2005,0.662
lka,2006,0.667
lka,2007,0.673
lka,2008,0.676
lka,2009,0.68
lka,2011,0.691
sdn,1980,0.264
sdn,1990,0.298
sdn,2000,0.357
sdn,2005,0.383
sdn,2006,0.39
sdn,2007,0.395
sdn,2008,0.399
sdn,2009,0.403
sdn,2011,0.408
sur,2005,0.659
sur,2006,0.662
sur,2007,0.668
sur,2008,0.672
sur,2009,0.674
sur,2011,0.68
swz,1990,0.526
swz,2000,0.492
swz,2005,0.493
swz,2006,0.499
swz,2007,0.507
swz,2008,0.512
swz,2009,0.515
swz,2011,0.522
swe,1980,0.785
swe,1990,0.816
swe,2000,0.894
swe,2005,0.896
swe,2006,0.898
swe,2007,0.899
swe,2008,0.9
swe,2009,0.898
swe,2011,0.904
che,1980,0.81
che,1990,0.833
che,2000,0.873
che,2005,0.89
che,2006,0.893
che,2007,0.893
che,2008,0.892
che,2009,0.899
che,2011,0.903
syr,1980,0.497
syr,1990,0.548
syr,2000,0.583
syr,2005,0.621
syr,2006,0.624
syr,2007,0.628
syr,2008,0.629
syr,2009,0.63
syr,2011,0.632
tjk,2000,0.527
tjk,2005,0.575
tjk,2006,0.583
tjk,2007,0.588
tjk,2008,0.597
tjk,2009,0.6
tjk,2011,0.607
tza,1990,0.352
tza,2000,0.364
tza,2005,0.42
tza,2006,0.429
tza,2007,0.44
tza,2008,0.448
tza,2009,0.454
tza,2011,0.466
tha,1980,0.486
tha,1990,0.566
tha,2000,0.626
tha,2005,0.656
tha,2006,0.661
tha,2007,0.67
tha,2008,0.672
tha,2009,0.673
tha,2011,0.682
tls,2000,0.404
tls,2005,0.448
tls,2006,0.464
tls,2007,0.487
tls,2008,0.505
tls,2009,0.487
tls,2011,0.495
tgo,1980,0.347
tgo,1990,0.368
tgo,2000,0.408
tgo,2005,0.419
tgo,2006,0.425
tgo,2007,0.424
tgo,2008,0.426
tgo,2009,0.429
tgo,2011,0.435
ton,1990,0.649
ton,2000,0.681
ton,2005,0.696
ton,2006,0.698
ton,2007,0.698
ton,2008,0.7
ton,2009,0.701
ton,2011,0.704
tto,1980,0.673
tto,1990,0.676
tto,2000,0.701
tto,2005,0.728
tto,2006,0.741
tto,2007,0.752
tto,2008,0.751
tto,2009,0.755
tto,2011,0.76
tun,1980,0.45
tun,1990,0.542
tun,2000,0.63
tun,2005,0.667
tun,2006,0.675
tun,2007,0.681
tun,2008,0.688
tun,2009,0.692
tun,2011,0.698
tur,1980,0.463
tur,1990,0.558
tur,2000,0.634
tur,2005,0.671
tur,2006,0.681
tur,2007,0.688
tur,2008,0.691
tur,2009,0.69
tur,2011,0.699
tkm,2005,0.654
tkm,2006,0.661
tkm,2007,0.666
tkm,2008,0.671
tkm,2009,0.677
tkm,2011,0.686
uga,1990,0.299
uga,2000,0.372
uga,2005,0.401
uga,2006,0.41
uga,2007,0.42
uga,2008,0.43
uga,2009,0.438
uga,2011,0.446
ukr,1990,0.707
ukr,2000,0.669
ukr,2005,0.712
ukr,2006,0.718
ukr,2007,0.725
ukr,2008,0.729
ukr,2009,0.72
ukr,2011,0.729
are,1980,0.629
are,1990,0.69
are,2000,0.753
are,2005,0.807
are,2006,0.818
are,2007,0.827
are,2008,0.835
are,2009,0.841
are,2011,0.846
gbr,1980,0.744
gbr,1990,0.778
gbr,2000,0.833
gbr,2005,0.855
gbr,2006,0.853
gbr,2007,0.856
gbr,2008,0.86
gbr,2009,0.86
gbr,2011,0.863
usa,1980,0.837
usa,1990,0.87
usa,2000,0.897
usa,2005,0.902
usa,2006,0.904
usa,2007,0.905
usa,2008,0.907
usa,2009,0.906
usa,2011,0.91
ury,1980,0.658
ury,1990,0.686
ury,2000,0.736
ury,2005,0.748
ury,2006,0.755
ury,2007,0.764
ury,2008,0.769
ury,2009,0.773
ury,2011,0.783
uzb,2005,0.611
uzb,2006,0.614
uzb,2007,0.619
uzb,2008,0.624
uzb,2009,0.631
uzb,2011,0.641
vut,2011,0.617
ven,1980,0.623
ven,1990,0.629
ven,2000,0.656
ven,2005,0.692
ven,2006,0.706
ven,2007,0.72
ven,2008,0.73
ven,2009,0.732
ven,2011,0.735
pse,2011,0.641
vnm,1990,0.435
vnm,2000,0.528
vnm,2005,0.561
vnm,2006,0.568
vnm,2007,0.575
vnm,2008,0.58
vnm,2009,0.584
vnm,2011,0.593
yem,2000,0.374
yem,2005,0.422
yem,2006,0.431
yem,2007,0.438
yem,2008,0.444
yem,2009,0.452
yem,2011,0.462
zmb,1980,0.401
zmb,1990,0.394
zmb,2000,0.371
zmb,2005,0.394
zmb,2006,0.398
zmb,2007,0.405
zmb,2008,0.413
zmb,2009,0.419
zmb,2011,0.43
zwe,1980,0.366
zwe,1990,0.425
zwe,2000,0.372
zwe,2005,0.347
zwe,2006,0.348
zwe,2007,0.35
zwe,2008,0.338
zwe,2009,0.349
zwe,2011,0.376
