geo,all_forms_of_tb_number_of_deaths_estimated,time
afg,6274,1990
afg,6602,1991
afg,7063,1992
afg,7575,1993
afg,8034,1994
afg,8317,1995
afg,8648,1996
afg,8682,1997
afg,8546,1998
afg,8713,1999
afg,8448,2000
afg,8278,2001
afg,8090,2002
afg,8499,2003
afg,8301,2004
afg,8241,2005
afg,8091,2006
afg,8169,2007
alb,141,1990
alb,138,1991
alb,140,1992
alb,145,1993
alb,143,1994
alb,147,1995
alb,143,1996
alb,153,1997
alb,147,1998
alb,143,1999
alb,137,2000
alb,129,2001
alb,123,2002
alb,125,2003
alb,117,2004
alb,114,2005
alb,107,2006
alb,98,2007
dza,542,1990
dza,527,1991
dza,510,1992
dza,489,1993
dza,464,1994
dza,434,1995
dza,453,1996
dza,471,1997
dza,492,1998
dza,513,1999
dza,530,2000
dza,552,2001
dza,575,2002
dza,598,2003
dza,622,2004
dza,647,2005
dza,673,2006
dza,700,2007
asm,2,1990
asm,1,1991
asm,0,1992
asm,1,1993
asm,1,1994
asm,1,1995
asm,0,1996
asm,5,1997
asm,1,1998
asm,0,1999
asm,1,2000
asm,0,2001
asm,0,2002
asm,0,2003
asm,1,2004
asm,1,2005
asm,1,2006
asm,0,2007
and,2,1990
and,2,1991
and,2,1992
and,2,1993
and,2,1994
and,2,1995
and,2,1996
and,2,1997
and,2,1998
and,2,1999
and,2,2000
and,2,2001
and,2,2002
and,1,2003
and,2,2004
and,2,2005
and,1,2006
and,2,2007
ago,6296,1990
ago,6563,1991
ago,6861,1992
ago,7182,1993
ago,7512,1994
ago,7841,1995
ago,8303,1996
ago,6229,1997
ago,7438,1998
ago,7258,1999
ago,10390,2000
ago,6964,2001
ago,5059,2002
ago,4578,2003
ago,5810,2004
ago,6357,2005
ago,4823,2006
ago,5684,2007
aia,0,1990
aia,0,1991
aia,0,1992
aia,0,1993
aia,0,1994
aia,0,1995
aia,0,1996
aia,0,1997
aia,0,1998
aia,0,1999
aia,0,2000
aia,0,2001
aia,0,2002
aia,1,2003
aia,1,2004
aia,1,2005
aia,1,2006
aia,1,2007
atg,1,1990
atg,1,1991
atg,1,1992
atg,1,1993
atg,1,1994
atg,1,1995
atg,1,1996
atg,1,1997
atg,1,1998
atg,1,1999
atg,0,2000
atg,1,2001
atg,1,2002
atg,1,2003
atg,1,2004
atg,1,2005
atg,1,2006
atg,1,2007
arg,2602,1990
arg,2538,1991
arg,2476,1992
arg,2413,1993
arg,2351,1994
arg,2288,1995
arg,2225,1996
arg,2186,1997
arg,2135,1998
arg,2046,1999
arg,1953,2000
arg,2070,2001
arg,1930,2002
arg,1896,2003
arg,1795,2004
arg,1861,2005
arg,1838,2006
arg,1759,2007
arm,191,1990
arm,181,1991
arm,188,1992
arm,201,1993
arm,218,1994
arm,245,1995
arm,281,1996
arm,290,1997
arm,286,1998
arm,329,1999
arm,357,2000
arm,374,2001
arm,368,2002
arm,352,2003
arm,331,2004
arm,306,2005
arm,308,2006
arm,313,2007
aus,112,1990
aus,114,1991
aus,113,1992
aus,117,1993
aus,120,1994
aus,124,1995
aus,128,1996
aus,121,1997
aus,120,1998
aus,116,1999
aus,119,2000
aus,116,2001
aus,113,2002
aus,116,2003
aus,117,2004
aus,125,2005
aus,127,2006
aus,129,2007
aut,180,1990
aut,171,1991
aut,164,1992
aut,155,1993
aut,150,1994
aut,144,1995
aut,140,1996
aut,135,1997
aut,130,1998
aut,122,1999
aut,117,2000
aut,113,2001
aut,113,2002
aut,109,2003
aut,107,2004
aut,106,2005
aut,105,2006
aut,103,2007
aze,365,1990
aze,356,1991
aze,381,1992
aze,424,1993
aze,479,1994
aze,556,1995
aze,638,1996
aze,655,1997
aze,717,1998
aze,768,1999
aze,819,2000
aze,841,2001
aze,843,2002
aze,911,2003
aze,848,2004
aze,861,2005
aze,872,2006
aze,882,2007
bhs,28,1990
bhs,29,1991
bhs,30,1992
bhs,30,1993
bhs,30,1994
bhs,30,1995
bhs,31,1996
bhs,28,1997
bhs,31,1998
bhs,23,1999
bhs,20,2000
bhs,20,2001
bhs,28,2002
bhs,29,2003
bhs,27,2004
bhs,28,2005
bhs,28,2006
bhs,30,2007
bhr,44,1990
bhr,43,1991
bhr,42,1992
bhr,40,1993
bhr,40,1994
bhr,39,1995
bhr,39,1996
bhr,39,1997
bhr,38,1998
bhr,36,1999
bhr,31,2000
bhr,31,2001
bhr,31,2002
bhr,30,2003
bhr,30,2004
bhr,30,2005
bhr,30,2006
bhr,35,2007
bgd,87090,1990
bgd,86420,1991
bgd,85710,1992
bgd,84940,1993
bgd,84090,1994
bgd,83530,1995
bgd,81660,1996
bgd,81020,1997
bgd,79910,1998
bgd,78830,1999
bgd,80630,2000
bgd,80970,2001
bgd,80340,2002
bgd,78770,2003
bgd,77720,2004
bgd,73850,2005
bgd,70670,2006
bgd,70900,2007
brb,4,1990
brb,4,1991
brb,3,1992
brb,3,1993
brb,3,1994
brb,3,1995
brb,3,1996
brb,3,1997
brb,3,1998
brb,3,1999
brb,3,2000
brb,2,2001
brb,2,2002
brb,2,2003
brb,2,2004
brb,2,2005
brb,2,2006
brb,1,2007
blr,526,1990
blr,462,1991
blr,517,1992
blr,549,1993
blr,674,1994
blr,751,1995
blr,837,1996
blr,907,1997
blr,902,1998
blr,1045,1999
blr,1013,2000
blr,976,2001
blr,814,2002
blr,797,2003
blr,806,2004
blr,808,2005
blr,803,2006
blr,799,2007
bel,208,1990
bel,194,1991
bel,191,1992
bel,193,1993
bel,196,1994
bel,189,1995
bel,173,1996
bel,169,1997
bel,160,1998
bel,160,1999
bel,158,2000
bel,167,2001
bel,158,2002
bel,150,2003
bel,144,2004
bel,144,2005
bel,137,2006
bel,129,2007
blz,16,1990
blz,16,1991
blz,17,1992
blz,18,1993
blz,19,1994
blz,20,1995
blz,8,1996
blz,14,1997
blz,17,1998
blz,19,1999
blz,13,2000
blz,8,2001
blz,8,2002
blz,12,2003
blz,18,2004
blz,11,2005
blz,14,2006
blz,20,2007
ben,771,1990
ben,799,1991
ben,833,1992
ben,872,1993
ben,914,1994
ben,955,1995
ben,1058,1996
ben,1138,1997
ben,1213,1998
ben,1192,1999
ben,1238,2000
ben,1296,2001
ben,1452,2002
ben,1568,2003
ben,1546,2004
ben,1586,2005
ben,1577,2006
ben,1643,2007
bmu,1,1990
bmu,1,1991
bmu,1,1992
bmu,1,1993
bmu,0,1994
bmu,0,1995
bmu,1,1996
bmu,1,1997
bmu,1,1998
bmu,0,1999
bmu,0,2000
bmu,0,2001
bmu,0,2002
bmu,0,2003
bmu,0,2004
bmu,0,2005
bmu,0,2006
bmu,0,2007
btn,550,1990
btn,518,1991
btn,482,1992
btn,446,1993
btn,413,1994
btn,388,1995
btn,366,1996
btn,357,1997
btn,333,1998
btn,343,1999
btn,337,2000
btn,334,2001
btn,325,2002
btn,321,2003
btn,316,2004
btn,309,2005
btn,304,2006
btn,288,2007
bol,2978,1990
bol,2956,1991
bol,2935,1992
bol,2915,1993
bol,2894,1994
bol,2873,1995
bol,2549,1996
bol,2567,1997
bol,2515,1998
bol,2507,1999
bol,2476,2000
bol,2418,2001
bol,2401,2002
bol,2413,2003
bol,2390,2004
bol,2358,2005
bol,2386,2006
bol,2381,2007
bih,649,1990
bih,619,1991
bih,589,1992
bih,547,1993
bih,503,1994
bih,461,1995
bih,445,1996
bih,411,1997
bih,411,1998
bih,383,1999
bih,347,2000
bih,326,2001
bih,328,2002
bih,310,2003
bih,264,2004
bih,298,2005
bih,296,2006
bih,293,2007
bwa,624,1990
bwa,719,1991
bwa,792,1992
bwa,865,1993
bwa,926,1994
bwa,980,1995
bwa,962,1996
bwa,974,1997
bwa,1082,1998
bwa,1289,1999
bwa,1451,2000
bwa,1852,2001
bwa,2179,2002
bwa,2765,2003
bwa,2937,2004
bwa,3035,2005
bwa,3504,2006
bwa,3649,2007
bra,10880,1990
bra,10830,1991
bra,10530,1992
bra,10350,1993
bra,10170,1994
bra,11340,1995
bra,11200,1996
bra,11040,1997
bra,9842,1998
bra,10510,1999
bra,10270,2000
bra,9903,2001
bra,10340,2002
bra,10880,2003
bra,8844,2004
bra,8834,2005
bra,8124,2006
bra,8419,2007
vgb,1,1990
vgb,1,1991
vgb,1,1992
vgb,1,1993
vgb,1,1994
vgb,1,1995
vgb,1,1996
vgb,0,1997
vgb,0,1998
vgb,0,1999
vgb,0,2000
vgb,0,2001
vgb,0,2002
vgb,0,2003
vgb,0,2004
vgb,0,2005
vgb,0,2006
vgb,0,2007
brn,27,1990
brn,27,1991
brn,28,1992
brn,29,1993
brn,30,1994
brn,30,1995
brn,31,1996
brn,30,1997
brn,31,1998
brn,21,1999
brn,29,2000
brn,24,2001
brn,22,2002
brn,26,2003
brn,27,2004
brn,24,2005
brn,18,2006
brn,27,2007
bgr,313,1990
bgr,348,1991
bgr,390,1992
bgr,417,1993
bgr,424,1994
bgr,420,1995
bgr,429,1996
bgr,467,1997
bgr,486,1998
bgr,411,1999
bgr,420,2000
bgr,462,2001
bgr,450,2002
bgr,417,2003
bgr,370,2004
bgr,412,2005
bgr,367,2006
bgr,398,2007
bfa,2849,1990
bfa,3212,1991
bfa,3481,1992
bfa,3780,1993
bfa,4086,1994
bfa,4437,1995
bfa,4713,1996
bfa,5331,1997
bfa,5911,1998
bfa,6636,1999
bfa,7524,2000
bfa,8425,2001
bfa,9325,2002
bfa,9980,2003
bfa,10320,2004
bfa,10340,2005
bfa,10230,2006
bfa,10210,2007
bdi,2441,1990
bdi,2860,1991
bdi,3318,1992
bdi,3717,1993
bdi,3991,1994
bdi,4240,1995
bdi,4461,1996
bdi,4506,1997
bdi,5558,1998
bdi,5296,1999
bdi,5823,2000
bdi,6695,2001
bdi,7471,2002
bdi,7989,2003
bdi,8311,2004
bdi,8589,2005
bdi,8709,2006
bdi,8685,2007
khm,11570,1990
khm,11980,1991
khm,12420,1992
khm,12860,1993
khm,13260,1994
khm,13460,1995
khm,14070,1996
khm,13990,1997
khm,14090,1998
khm,14030,1999
khm,14200,2000
khm,14260,2001
khm,13780,2002
khm,13450,2003
khm,13240,2004
khm,12820,2005
khm,12960,2006
khm,12920,2007
cmr,2944,1990
cmr,3471,1991
cmr,3970,1992
cmr,4560,1993
cmr,5179,1994
cmr,5822,1995
cmr,6394,1996
cmr,7264,1997
cmr,7783,1998
cmr,8313,1999
cmr,8870,2000
cmr,9551,2001
cmr,9580,2002
cmr,9033,2003
cmr,9153,2004
cmr,7937,2005
cmr,7553,2006
cmr,7159,2007
can,264,1990
can,253,1991
can,243,1992
can,230,1993
can,223,1994
can,215,1995
can,209,1996
can,205,1997
can,198,1998
can,188,1999
can,182,2000
can,177,2001
can,177,2002
can,171,2003
can,170,2004
can,169,2005
can,168,2006
can,175,2007
cpv,176,1990
cpv,176,1991
cpv,176,1992
cpv,176,1993
cpv,176,1994
cpv,176,1995
cpv,179,1996
cpv,181,1997
cpv,184,1998
cpv,186,1999
cpv,189,2000
cpv,149,2001
cpv,195,2002
cpv,198,2003
cpv,200,2004
cpv,161,2005
cpv,167,2006
cpv,166,2007
cym,0,1990
cym,0,1991
cym,0,1992
cym,0,1993
cym,0,1994
cym,0,1995
cym,0,1996
cym,0,1997
cym,0,1998
cym,0,1999
cym,0,2000
cym,0,2001
cym,0,2002
cym,0,2003
cym,0,2004
cym,0,2005
cym,0,2006
cym,0,2007
caf,1404,1990
caf,1641,1991
caf,1846,1992
caf,2076,1993
caf,2309,1994
caf,2555,1995
caf,1969,1996
caf,3144,1997
caf,3506,1998
caf,3912,1999
caf,4370,2000
caf,4550,2001
caf,4386,2002
caf,5448,2003
caf,5626,2004
caf,5012,2005
caf,4364,2006
caf,4330,2007
tcd,1889,1990
tcd,2175,1991
tcd,2416,1992
tcd,2695,1993
tcd,2990,1994
tcd,3322,1995
tcd,4035,1996
tcd,4985,1997
tcd,5645,1998
tcd,5384,1999
tcd,6144,2000
tcd,6947,2001
tcd,8150,2002
tcd,9772,2003
tcd,9703,2004
tcd,9494,2005
tcd,9549,2006
tcd,9690,2007
chl,558,1990
chl,530,1991
chl,504,1992
chl,479,1993
chl,454,1994
chl,431,1995
chl,409,1996
chl,389,1997
chl,369,1998
chl,350,1999
chl,332,2000
chl,314,2001
chl,329,2002
chl,312,2003
chl,247,2004
chl,278,2005
chl,183,2006
chl,170,2007
chn,285200,1990
chn,281400,1991
chn,277400,1992
chn,273200,1993
chn,268800,1994
chn,266500,1995
chn,257800,1996
chn,254700,1997
chn,253100,1998
chn,254000,1999
chn,253300,2000
chn,252100,2001
chn,250300,2002
chn,237300,2003
chn,219700,2004
chn,207400,2005
chn,204100,2006
chn,200600,2007
col,3245,1990
col,3232,1991
col,3219,1992
col,3208,1993
col,3197,1994
col,3185,1995
col,3181,1996
col,3174,1997
col,3164,1998
col,2981,1999
col,2557,2000
col,3118,2001
col,3043,2002
col,3024,2003
col,2938,2004
col,2860,2005
col,2491,2006
col,2474,2007
com,77,1990
com,74,1991
com,71,1992
com,69,1993
com,66,1994
com,63,1995
com,61,1996
com,72,1997
com,60,1998
com,70,1999
com,59,2000
com,57,2001
com,59,2002
com,61,2003
com,58,2004
com,55,2005
com,55,2006
com,54,2007
cog,1068,1990
cog,1222,1991
cog,1330,1992
cog,1441,1993
cog,1544,1994
cog,1652,1995
cog,2656,1996
cog,3013,1997
cog,2378,1998
cog,3668,1999
cog,1379,2000
cog,1869,2001
cog,2234,2002
cog,3417,2003
cog,3208,2004
cog,3277,2005
cog,3551,2006
cog,3405,2007
cok,0,1990
cok,0,1991
cok,2,1992
cok,1,1993
cok,1,1994
cok,1,1995
cok,0,1996
cok,0,1997
cok,0,1998
cok,1,1999
cok,0,2000
cok,2,2001
cok,0,2002
cok,0,2003
cok,1,2004
cok,0,2005
cok,0,2006
cok,1,2007
cri,100,1990
cri,99,1991
cri,98,1992
cri,98,1993
cri,97,1994
cri,96,1995
cri,66,1996
cri,63,1997
cri,63,1998
cri,57,1999
cri,43,2000
cri,46,2001
cri,52,2002
cri,51,2003
cri,40,2004
cri,45,2005
cri,45,2006
cri,39,2007
hrv,535,1990
hrv,531,1991
hrv,537,1992
hrv,534,1993
hrv,521,1994
hrv,495,1995
hrv,458,1996
hrv,472,1997
hrv,448,1998
hrv,404,1999
hrv,325,2000
hrv,328,2001
hrv,307,2002
hrv,306,2003
hrv,304,2004
hrv,298,2005
hrv,296,2006
hrv,293,2007
cub,321,1990
cub,297,1991
cub,275,1992
cub,255,1993
cub,235,1994
cub,217,1995
cub,201,1996
cub,187,1997
cub,173,1998
cub,160,1999
cub,148,2000
cub,137,2001
cub,127,2002
cub,118,2003
cub,109,2004
cub,94,2005
cub,86,2006
cub,60,2007
cyp,6,1990
cyp,6,1991
cyp,6,1992
cyp,6,1993
cyp,5,1994
cyp,5,1995
cyp,6,1996
cyp,5,1997
cyp,5,1998
cyp,5,1999
cyp,5,2000
cyp,4,2001
cyp,5,2002
cyp,5,2003
cyp,5,2004
cyp,4,2005
cyp,4,2006
cyp,4,2007
cze,242,1990
cze,246,1991
cze,243,1992
cze,238,1993
cze,232,1994
cze,236,1995
cze,231,1996
cze,230,1997
cze,215,1998
cze,197,1999
cze,176,2000
cze,158,2001
cze,145,2002
cze,134,2003
cze,127,2004
cze,120,2005
cze,111,2006
cze,103,2007
civ,6171,1990
civ,7343,1991
civ,8363,1992
civ,9464,1993
civ,10540,1994
civ,11650,1995
civ,12880,1996
civ,14470,1997
civ,16200,1998
civ,18360,1999
civ,21380,2000
civ,26330,2001
civ,25570,2002
civ,26610,2003
civ,26860,2004
civ,26950,2005
civ,25800,2006
civ,24720,2007
prk,22830,1990
prk,23070,1991
prk,23320,1992
prk,23570,1993
prk,23810,1994
prk,24030,1995
prk,24340,1996
prk,24640,1997
prk,24920,1998
prk,25060,1999
prk,23980,2000
prk,22700,2001
prk,21060,2002
prk,20220,2003
prk,19440,2004
prk,19980,2005
prk,19750,2006
prk,15410,2007
cod,13310,1990
cod,15290,1991
cod,16950,1992
cod,18830,1993
cod,20760,1994
cod,23320,1995
cod,24420,1996
cod,27540,1997
cod,28440,1998
cod,32350,1999
cod,37030,2000
cod,41100,2001
cod,45860,2002
cod,48030,2003
cod,49410,2004
cod,50410,2005
cod,51360,2006
cod,51100,2007
dnk,81,1990
dnk,77,1991
dnk,73,1992
dnk,69,1993
dnk,66,1994
dnk,63,1995
dnk,59,1996
dnk,57,1997
dnk,55,1998
dnk,52,1999
dnk,50,2000
dnk,49,2001
dnk,48,2002
dnk,48,2003
dnk,47,2004
dnk,45,2005
dnk,46,2006
dnk,46,2007
dji,705,1990
dji,738,1991
dji,767,1992
dji,795,1993
dji,829,1994
dji,870,1995
dji,500,1996
dji,481,1997
dji,692,1998
dji,665,1999
dji,765,2000
dji,762,2001
dji,1015,2002
dji,1067,2003
dji,1154,2004
dji,1193,2005
dji,1263,2006
dji,1304,2007
dma,2,1990
dma,2,1991
dma,2,1992
dma,2,1993
dma,2,1994
dma,2,1995
dma,2,1996
dma,1,1997
dma,1,1998
dma,1,1999
dma,1,2000
dma,2,2001
dma,2,2002
dma,2,2003
dma,2,2004
dma,2,2005
dma,1,2006
dma,1,2007
dom,1986,1990
dom,1991,1991
dom,1995,1992
dom,1996,1993
dom,1990,1994
dom,1978,1995
dom,1821,1996
dom,1953,1997
dom,1934,1998
dom,1867,1999
dom,1849,2000
dom,1818,2001
dom,1561,2002
dom,1416,2003
dom,1370,2004
dom,1294,2005
dom,1306,2006
dom,1296,2007
ecu,4173,1990
ecu,4151,1991
ecu,4128,1992
ecu,4102,1993
ecu,4073,1994
ecu,4038,1995
ecu,4007,1996
ecu,3739,1997
ecu,3932,1998
ecu,3888,1999
ecu,3840,2000
ecu,3740,2001
ecu,3442,2002
ecu,3314,2003
ecu,3213,2004
ecu,3294,2005
ecu,3163,2006
ecu,3013,2007
egy,2309,1990
egy,2319,1991
egy,2382,1992
egy,2339,1993
egy,2353,1994
egy,2343,1995
egy,2320,1996
egy,2217,1997
egy,2156,1998
egy,2122,1999
egy,2103,2000
egy,2071,2001
egy,2037,2002
egy,1992,2003
egy,1937,2004
egy,1897,2005
egy,1872,2006
egy,1845,2007
slv,758,1990
slv,740,1991
slv,725,1992
slv,711,1993
slv,698,1994
slv,685,1995
slv,741,1996
slv,658,1997
slv,646,1998
slv,630,1999
slv,621,2000
slv,605,2001
slv,585,2002
slv,575,2003
slv,556,2004
slv,521,2005
slv,512,2006
slv,494,2007
gnq,65,1990
gnq,75,1991
gnq,83,1992
gnq,92,1993
gnq,102,1994
gnq,112,1995
gnq,140,1996
gnq,152,1997
gnq,150,1998
gnq,169,1999
gnq,190,2000
gnq,366,2001
gnq,401,2002
gnq,428,2003
gnq,326,2004
gnq,329,2005
gnq,328,2006
gnq,442,2007
eri,633,1990
eri,645,1991
eri,656,1992
eri,670,1993
eri,686,1994
eri,703,1995
eri,735,1996
eri,742,1997
eri,714,1998
eri,490,1999
eri,510,2000
eri,523,2001
eri,576,2002
eri,568,2003
eri,650,2004
eri,703,2005
eri,775,2006
eri,793,2007
est,65,1990
est,64,1991
est,69,1992
est,81,1993
est,92,1994
est,99,1995
est,119,1996
est,131,1997
est,135,1998
est,142,1999
est,132,2000
est,125,2001
est,121,2002
est,115,2003
est,105,2004
est,95,2005
est,92,2006
est,81,2007
eth,20330,1990
eth,23950,1991
eth,27210,1992
eth,30900,1993
eth,34670,1994
eth,38700,1995
eth,39860,1996
eth,41600,1997
eth,45320,1998
eth,51340,1999
eth,55050,2000
eth,62340,2001
eth,67340,2002
eth,72500,2003
eth,75480,2004
eth,77120,2005
eth,77690,2006
eth,76420,2007
fji,65,1990
fji,61,1991
fji,57,1992
fji,54,1993
fji,51,1994
fji,48,1995
fji,45,1996
fji,45,1997
fji,43,1998
fji,37,1999
fji,40,2000
fji,34,2001
fji,35,2002
fji,29,2003
fji,32,2004
fji,31,2005
fji,27,2006
fji,29,2007
fin,87,1990
fin,78,1991
fin,70,1992
fin,63,1993
fin,61,1994
fin,65,1995
fin,65,1996
fin,64,1997
fin,61,1998
fin,60,1999
fin,55,2000
fin,50,2001
fin,45,2002
fin,40,2003
fin,38,2004
fin,33,2005
fin,32,2006
fin,31,2007
fra,1542,1990
fra,1463,1991
fra,1400,1992
fra,1319,1993
fra,1271,1994
fra,1216,1995
fra,1180,1996
fra,1147,1997
fra,1074,1998
fra,1043,1999
fra,1001,2000
fra,970,2001
fra,966,2002
fra,934,2003
fra,920,2004
fra,912,2005
fra,904,2006
fra,894,2007
pyf,14,1990
pyf,11,1991
pyf,19,1992
pyf,18,1993
pyf,20,1994
pyf,24,1995
pyf,14,1996
pyf,9,1997
pyf,13,1998
pyf,13,1999
pyf,11,2000
pyf,11,2001
pyf,8,2002
pyf,8,2003
pyf,5,2004
pyf,8,2005
pyf,6,2006
pyf,8,2007
gab,420,1990
gab,429,1991
gab,445,1992
gab,474,1993
gab,514,1994
gab,520,1995
gab,599,1996
gab,651,1997
gab,719,1998
gab,809,1999
gab,1015,2000
gab,524,2001
gab,793,2002
gab,787,2003
gab,718,2004
gab,930,2005
gab,976,2006
gab,1011,2007
gmb,366,1990
