geo,murder_total_deaths,time
afg,916,2002
afg,813,2004
alb,187,2002
alb,208,2004
dza,3745,2002
dza,3102,2004
and,1,2002
and,1,2004
ago,5217,2002
ago,6226,2004
atg,7,2002
atg,6,2004
arg,3329,2002
arg,2596,2004
arm,112,2002
arm,100,2004
aus,284,2002
aus,253,2004
aut,75,2002
aut,63,2004
aze,244,2002
aze,235,2004
bhs,66,2002
bhs,72,2004
bhr,8,2002
bhr,8,2004
bgd,10670,2002
bgd,11740,2004
brb,23,2002
brb,44,2004
blr,1293,2002
blr,1007,2004
bel,172,2002
bel,164,2004
blz,30,2002
blz,63,2004
ben,659,2002
ben,1046,2004
btn,97,2002
btn,27,2004
bol,345,2002
bol,335,2004
bih,84,2002
bih,73,2004
bwa,109,2002
bwa,390,2004
bra,57520,2002
bra,57250,2004
brn,5,2002
brn,4,2004
bgr,238,2002
bgr,235,2004
bfa,1658,2002
bfa,2448,2004
bdi,1189,2002
bdi,2677,2004
khm,2360,2002
khm,2534,2004
cmr,1695,2002
cmr,2808,2004
can,455,2002
can,446,2004
cpv,10,2002
cpv,53,2004
caf,898,2002
caf,1202,2004
tcd,970,2002
tcd,1860,2004
chl,861,2002
chl,861,2004
chn,38840,2002
chn,27690,2004
col,31500,2002
col,36620,2004
com,56,2002
com,72,2004
cod,10900,2002
cod,20060,2004
cog,588,2002
cog,665,2004
cok,0,2002
cok,0,2004
cri,264,2002
cri,279,2004
civ,4483,2002
civ,9578,2004
hrv,86,2002
hrv,85,2004
cub,600,2002
cub,680,2004
cyp,2,2002
cyp,2,2004
cze,136,2002
cze,136,2004
dnk,56,2002
dnk,52,2004
dji,24,2002
dji,27,2004
dma,4,2002
dma,7,2004
dom,878,2002
dom,1588,2004
ecu,2958,2002
ecu,3042,2004
egy,813,2002
egy,912,2004
slv,2462,2002
slv,2561,2004
gnq,63,2002
gnq,113,2004
eri,305,2002
eri,693,2004
est,207,2002
est,120,2004
eth,14160,2002
eth,14890,2004
fji,7,2002
fji,6,2004
fin,165,2002
fin,134,2004
fra,409,2002
fra,501,2004
gab,122,2002
gab,218,2004
gmb,139,2002
gmb,212,2004
geo,197,2002
geo,166,2004
deu,593,2002
deu,570,2004
gha,1885,2002
gha,2555,2004
grc,130,2002
grc,97,2004
grd,4,2002
grd,5,2004
gtm,4460,2002
gtm,5101,2004
gin,1993,2002
gin,1531,2004
gnb,176,2002
gnb,253,2004
guy,76,2002
guy,168,2004
hti,835,2002
hti,482,2004
hnd,911,2002
hnd,1384,2004
hun,238,2002
hun,222,2004
isl,2,2002
isl,3,2004
ind,57440,2002
ind,61230,2004
idn,20500,2002
idn,20100,2004
irn,2601,2002
irn,1742,2004
irq,709,2002
irq,2016,2004
irl,38,2002
irl,30,2004
isr,45,2002
isr,312,2004
ita,631,2002
ita,559,2004
jam,899,2004
jpn,785,2002
jpn,686,2004
jor,157,2002
jor,369,2004
kaz,3041,2002
kaz,2444,2004
ken,4702,2002
ken,7221,2004
kir,6,2002
kir,6,2004
prk,4399,2002
prk,4508,2004
kor,876,2002
kor,1047,2004
kwt,33,2002
kwt,36,2004
kgz,449,2002
kgz,443,2004
lao,316,2002
lao,299,2004
lva,294,2002
lva,236,2004
lbn,92,2002
lbn,99,2004
lso,135,2002
lso,260,2004
lbr,1064,2002
lbr,562,2004
lby,138,2002
lby,171,2004
ltu,369,2002
ltu,313,2004
lux,8,2002
lux,5,2004
mkd,62,2002
mkd,106,2004
mdg,1675,2002
mdg,2128,2004
mwi,1053,2002
mwi,2318,2004
mys,2084,2002
mys,2358,2004
mdv,22,2002
mdv,5,2004
mli,1606,2002
mli,2029,2004
mlt,6,2002
mlt,3,2004
mhl,1,2002
mhl,1,2004
mrt,359,2002
mrt,438,2004
mus,31,2002
mus,33,2004
mex,10360,2002
mex,9591,2004
fsm,2,2002
fsm,1,2004
mda,525,2002
mda,320,2004
mco,0,2002
mco,0,2004
mng,91,2002
mng,83,2004
mar,332,2002
mar,328,2004
moz,1629,2002
moz,4066,2004
mmr,8147,2002
mmr,7478,2004
nam,530,2002
nam,255,2004
nru,1,2002
nru,1,2004
npl,3653,2002
npl,3617,2004
nld,180,2002
nld,200,2004
nzl,47,2002
nzl,55,2004
nic,607,2002
nic,821,2004
ner,1642,2002
ner,2587,2004
nga,27890,2002
nga,24480,2004
niu,0,2002
niu,0,2004
nor,49,2002
nor,38,2004
omn,58,2002
omn,51,2004
pak,5514,2002
pak,5521,2004
plw,0,2002
plw,0,2004
pan,297,2002
pan,388,2004
png,873,2002
png,900,2004
pry,968,2002
pry,994,2004
per,957,2002
per,835,2004
phl,16570,2002
phl,17490,2004
pol,690,2002
pol,617,2004
prt,139,2002
prt,179,2004
qat,7,2002
qat,8,2004
rou,809,2002
rou,708,2004
rus,47460,2002
rus,42920,2004
rwa,1653,2002
rwa,2405,2004
kna,5,2002
kna,5,2004
lca,11,2002
lca,34,2004
vct,16,2002
vct,19,2004
wsm,2,2002
wsm,2,2004
smr,0,2002
smr,0,2004
stp,7,2002
stp,8,2004
sau,699,2002
sau,743,2004
sen,1081,2002
sen,1632,2004
scg,191,2002
scg,284,2004
syc,3,2002
syc,3,2004
sle,2399,2002
sle,1832,2004
sgp,35,2002
sgp,55,2004
svk,120,2002
svk,107,2004
svn,15,2002
svn,41,2004
slb,10,2002
slb,7,2004
som,3141,2002
som,265,2004
zaf,19330,2002
zaf,32300,2004
esp,420,2002
esp,600,2004
lka,1496,2002
lka,1312,2004
sdn,9989,2002
sdn,10320,2004
sur,18,2002
sur,56,2004
swz,64,2002
swz,235,2004
swe,92,2002
swe,111,2004
che,66,2002
che,68,2004
syr,468,2002
syr,476,2004
tjk,396,2002
tjk,143,2004
tza,8701,2002
tza,9790,2004
tha,5844,2002
tha,4409,2004
tls,130,2002
tls,119,2004
tgo,502,2002
tgo,833,2004
ton,1,2002
ton,1,2004
tto,114,2002
tto,181,2004
tun,188,2002
tun,164,2004
tur,2405,2002
tur,2096,2004
tkm,488,2002
tkm,421,2004
tuv,0,2002
tuv,0,2004
uga,5201,2002
uga,7057,2004
ukr,7557,2002
ukr,5653,2004
are,29,2002
are,19,2004
gbr,628,2002
gbr,1210,2004
usa,15730,2002
usa,17650,2004
ury,189,2002
ury,161,2004
uzb,951,2002
uzb,921,2004
vut,3,2002
vut,2,2004
ven,8891,2002
ven,10300,2004
vnm,3373,2002
vnm,3165,2004
yem,414,2002
yem,510,2004
zmb,391,2002
zmb,2582,2004
zwe,1446,2002
zwe,4284,2004
